#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
ZG|R0904|33.536278|-116.592178|1456.6|Sage Brush Flats Array R0904|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0905|33.536491|-116.5924|1449.0|Sage Brush Flats Array R0905|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0906|33.536716|-116.592644|1451.9|Sage Brush Flats Array R0906|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0907|33.536926|-116.592873|1447.7|Sage Brush Flats Array R0907|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R0908|33.537128|-116.593102|1443.1|Sage Brush Flats Array R0908|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0909|33.537357|-116.593307|1441.2|Sage Brush Flats Array R0909|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0910|33.537586|-116.593559|1441.4|Sage Brush Flats Array R0910|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0911|33.5378|-116.593788|1440.7|Sage Brush Flats Array R0911|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0912|33.538013|-116.594032|1437.8|Sage Brush Flats Array R0912|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0913|33.538235|-116.594254|1437.4|Sage Brush Flats Array R0913|2014-05-08T00:00:00|2014-06-02T23:59:59
ZG|R0914|33.538441|-116.594498|1440.2|Sage Brush Flats Array R0914|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0915|33.538677|-116.594704|1443.5|Sage Brush Flats Array R0915|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R0916|33.538872|-116.594978|1450.7|Sage Brush Flats Array R0916|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0917|33.539093|-116.595192|1456.4|Sage Brush Flats Array R0917|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0918|33.539314|-116.595421|1461.5|Sage Brush Flats Array R0918|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0919|33.539532|-116.59568|1463.0|Sage Brush Flats Array R0919|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R0920|33.539738|-116.595871|1472.2|Sage Brush Flats Array R0920|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1101|33.535751|-116.59127|1441.1|Sage Brush Flats Array R1101|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1102|33.535954|-116.591499|1439.4|Sage Brush Flats Array R1102|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1103|33.536175|-116.591736|1444.5|Sage Brush Flats Array R1103|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1104|33.536381|-116.591949|1449.2|Sage Brush Flats Array R1104|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1105|33.536594|-116.592201|1448.0|Sage Brush Flats Array R1105|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1106|33.536831|-116.592438|1443.1|Sage Brush Flats Array R1106|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1107|33.536999|-116.592644|1443.1|Sage Brush Flats Array R1107|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1108|33.537235|-116.592896|1437.6|Sage Brush Flats Array R1108|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1109|33.537453|-116.593109|1437.9|Sage Brush Flats Array R1109|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1110|33.537674|-116.593353|1438.4|Sage Brush Flats Array R1110|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1111|33.537884|-116.593605|1438.3|Sage Brush Flats Array R1111|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1112|33.538116|-116.593796|1435.5|Sage Brush Flats Array R1112|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1113|33.538345|-116.594017|1436.1|Sage Brush Flats Array R1113|2014-05-08T00:00:00|2014-06-04T23:59:59
